molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL602891,CO/C(=C\c1ccc(OCc2ccccc2)cc1)C(=O)N/C=C/c1ccc(O)cc1,100000.0,inactive
CHEMBL400538,CCCc1cc(=O)c2c(O)cc3cc(O)cc(OC)c3c2o1,9000.0,inactive
CHEMBL454794,COc1cc(O)cc2cc(O)c3c(=O)cc(C)oc3c12,12800.0,inactive
CHEMBL1172279,CCCc1cc(=O)c2c(OC)cc3cc(O)cc(OC)c3c2o1,5900.0,inactive
CHEMBL1172080,COc1c(O)c2c(=O)cc(C)oc2c2c(OC)cc(O)cc12,11900.0,inactive
CHEMBL401565,CCCc1cc(=O)c2c(O)c(OC)c3cc(O)cc(OC)c3c2o1,20000.0,inactive
CHEMBL256967,CCCc1cc(=O)c2c(OC)c(OC)c3cc(O)cc(OC)c3c2o1,16600.0,inactive
CHEMBL476292,COc1ccc2c(c1)C(=O)CC(c1ccccc1)O2,19000.0,intermediate
CHEMBL254613,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,8900.0,intermediate
CHEMBL107131,COc1cc(OC)c2c(c1)OC(c1ccccc1)CC2=O,17000.0,intermediate
CHEMBL1556958,Cc1c(O)cc2c(c1O)C(=O)CC(c1ccccc1)O2,11000.0,inactive
CHEMBL1685067,COc1cc2c(c(O)c1C)C(=O)CC(c1ccccc1)O2,4900.0,intermediate
CHEMBL1685068,COc1cc(OC)c2c(c1C)OC(c1ccccc1)CC2=O,9300.0,inactive
CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,17000.0,inactive
CHEMBL137586,COc1ccc2oc(-c3ccccc3)cc(=O)c2c1,3400.0,intermediate
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,3100.0,active
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,1500.0,active
CHEMBL275391,COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,9200.0,inactive
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4700.0,inactive
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,6900.0,intermediate
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,21000.0,intermediate
CHEMBL165509,COc1cc2oc(-c3ccc(O)cc3)c(OC)c(=O)c2c(O)c1OC,1200.0,intermediate
CHEMBL74898,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(O)c3)oc2c1,460.0,inactive
CHEMBL77966,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,390.0,inactive
CHEMBL73930,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,19000.0,inactive
CHEMBL226507,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,9000.0,inactive
CHEMBL76447,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,4900.0,inactive
CHEMBL77993,COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2OC)cc1OC,1400.0,active
CHEMBL76553,COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C,3000.0,active
CHEMBL1685069,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1C,5900.0,inactive
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6900.0,inactive
CHEMBL1685072,COC1=C(OC)[C@]2(OC)c3c(OC)c(OC)c4c(c3O[C@@]23O[C@@H](c2ccccc2)CC=C3C1=O)[C@@H](O)C[C@H](c1ccccc1)O4,11000.0,inactive
