molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4168425,COc1ccc(-c2nc(Nc3cccc(F)c3)c3ccccc3n2)cc1OC,active,375.40300000000013,5.196700000000003,1.0,5.0,6.335358024443875
CHEMBL4161988,COc1ccc(-c2nc(Nc3cccc(S(=O)(=O)F)c3)c3ccccc3n2)cc1OC,active,439.4680000000002,4.715800000000003,1.0,7.0,6.2441251443275085
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,6.6439741428068775
CHEMBL118812,O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1,active,342.35800000000006,4.948600000000003,1.0,5.0,6.886056647693163
CHEMBL4176534,COc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,372.38400000000007,4.957200000000003,1.0,6.0,5.882728704344236
CHEMBL4176826,CCOc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1OCC,active,430.46400000000017,5.746000000000004,1.0,7.0,5.494850021680094
CHEMBL4170247,O=[N+]([O-])c1cccc(-c2nc(Nc3ccc4c(c3)OCCO4)c3ccccc3n2)c1,active,400.3940000000002,4.719800000000003,1.0,7.0,7.698970004336019
CHEMBL4168440,CSc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,388.4520000000001,5.670500000000004,1.0,6.0,5.8326826652518236
CHEMBL4161193,CSc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1,active,388.45200000000006,5.670500000000004,1.0,6.0,6.086186147616283
CHEMBL4169523,CN(C)c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,385.4270000000001,5.014600000000003,1.0,6.0,6.7447274948966935
CHEMBL4161606,CCN(CC)c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1,active,413.4810000000001,5.794800000000004,1.0,6.0,7.075720713938118
